group,date,monthly_return
Lo_10,200001,-5.5
Lo_10,200002,3.02
Lo_10,200003,7.7
Lo_10,200004,-5.53
Lo_10,200005,-3.86
Lo_10,200006,8.58
Lo_10,200007,-4.98
Lo_10,200008,8.26
Lo_10,200009,-8.25
Lo_10,200010,-3.96
Lo_10,200011,-13.11
Lo_10,200012,-2.79
Lo_10,200101,4.69
Lo_10,200102,-14.78
Lo_10,200103,-10.69
Lo_10,200104,11.13
Lo_10,200105,-0.32
Lo_10,200106,-1.65
Lo_10,200107,-1.88
Lo_10,200108,-7.17
Lo_10,200109,-7.51
Lo_10,200110,4.34
Lo_10,200111,8.39
Lo_10,200112,-0.53
Lo_10,200201,-1.41
Lo_10,200202,-2.51
Lo_10,200203,2.47
Lo_10,200204,-8.09
Lo_10,200205,-2.27
Lo_10,200206,-8.56
Lo_10,200207,-4.83
Lo_10,200208,0.33
Lo_10,200209,-9.68
Lo_10,200210,10.26
Lo_10,200211,4.94
Lo_10,200212,-6.87
Lo_10,200301,-2.73
Lo_10,200302,-0.28
Lo_10,200303,3.28
Lo_10,200304,6.95
Lo_10,200305,3.01
Lo_10,200306,1.33
Lo_10,200307,0.62
Lo_10,200308,0.83
Lo_10,200309,-0.06
Lo_10,200310,3.52
Lo_10,200311,0.72
Lo_10,200312,3.86
Lo_10,200401,1.27
Lo_10,200402,1.8
Lo_10,200403,-1.66
Lo_10,200404,1.1
Lo_10,200405,0.52
Lo_10,200406,0.81
Lo_10,200407,-6.53
Lo_10,200408,-0.84
Lo_10,200409,0.46
Lo_10,200410,1.7
Lo_10,200411,2.98
Lo_10,200412,4.65
Lo_10,200501,-3.38
Lo_10,200502,0.92
Lo_10,200503,-1.16
Lo_10,200504,-1.97
Lo_10,200505,4.15
Lo_10,200506,-1.09
Lo_10,200507,4.87
Lo_10,200508,-1.76
Lo_10,200509,0.58
Lo_10,200510,-1.09
Lo_10,200511,3.64
Lo_10,200512,-0.93
Lo_10,200601,1.71
Lo_10,200602,-0.06
Lo_10,200603,1.81
Lo_10,200604,-0.09
Lo_10,200605,-3.13
Lo_10,200606,0.09
Lo_10,200607,-2.77
Lo_10,200608,3.65
Lo_10,200609,2.87
Lo_10,200610,4.43
Lo_10,200611,1.97
Lo_10,200612,-0.94
Lo_10,200701,2.75
Lo_10,200702,-2.36
Lo_10,200703,1.19
Lo_10,200704,4.58
Lo_10,200705,3.37
Lo_10,200706,-1.98
Lo_10,200707,-0.55
Lo_10,200708,1.68
Lo_10,200709,5.29
Lo_10,200710,6.21
Lo_10,200711,-5.24
Lo_10,200712,0.03
Lo_10,200801,-9.11
Lo_10,200802,-5.15
Lo_10,200803,0.84
Lo_10,200804,4.49
Lo_10,200805,3.09
Lo_10,200806,-8.22
Lo_10,200807,-1.63
Lo_10,200808,1.24
Lo_10,200809,-11.38
Lo_10,200810,-15.56
Lo_10,200811,-9.85
Lo_10,200812,1.76
Lo_10,200901,-3.85
Lo_10,200902,-5.29
Lo_10,200903,9.34
Lo_10,200904,9.73
Lo_10,200905,5.3
Lo_10,200906,2.97
Lo_10,200907,5.56
Lo_10,200908,0.99
Lo_10,200909,4.24
