group,year,annual_return
growth_stock,1927,57.86
growth_stock,1928,48.57
growth_stock,1929,-26.86
growth_stock,1930,-29.12
growth_stock,1931,-37.53
growth_stock,1932,-14.33
growth_stock,1933,45.78
growth_stock,1934,13.03
growth_stock,1935,36.21
growth_stock,1936,24.06
growth_stock,1937,-32.54
growth_stock,1938,30.48
growth_stock,1939,6.62
growth_stock,1940,-9.28
growth_stock,1941,-12.48
growth_stock,1942,14.35
growth_stock,1943,14.37
growth_stock,1944,15.91
growth_stock,1945,30.8
growth_stock,1946,-9.11
growth_stock,1947,-0.5
growth_stock,1948,2.83
growth_stock,1949,27.38
growth_stock,1950,23.83
growth_stock,1951,21.16
growth_stock,1952,14.57
growth_stock,1953,3.82
growth_stock,1954,51.85
growth_stock,1955,32.49
growth_stock,1956,3.72
growth_stock,1957,-10.39
growth_stock,1958,45.11
growth_stock,1959,23.02
growth_stock,1960,-3.8
growth_stock,1961,22.87
growth_stock,1962,-16.97
growth_stock,1963,19.1
growth_stock,1964,14.34
growth_stock,1965,19.89
growth_stock,1966,-8.61
growth_stock,1967,39.86
growth_stock,1968,1.76
growth_stock,1969,7.23
growth_stock,1970,-13.11
growth_stock,1971,25.37
growth_stock,1972,26.71
growth_stock,1973,-22.43
growth_stock,1974,-32.98
growth_stock,1975,31.16
growth_stock,1976,10.99
growth_stock,1977,-9.1
growth_stock,1978,11.32
growth_stock,1979,10.97
growth_stock,1980,41.99
growth_stock,1981,-14.06
growth_stock,1982,13.04
growth_stock,1983,13.95
growth_stock,1984,-8.11
growth_stock,1985,28.69
growth_stock,1986,7.77
growth_stock,1987,0.84
growth_stock,1988,9.48
growth_stock,1989,35.78
growth_stock,1990,6.37
growth_stock,1991,55.8
growth_stock,1992,-1.06
growth_stock,1993,-4.9
growth_stock,1994,-0.36
growth_stock,1995,37.12
growth_stock,1996,19.94
growth_stock,1997,28.76
growth_stock,1998,41.75
growth_stock,1999,30.47
growth_stock,2000,-20.83
growth_stock,2001,-17.74
growth_stock,2002,-24.83
growth_stock,2003,22.79
growth_stock,2004,5.99
growth_stock,2005,2.42
growth_stock,2006,9.64
growth_stock,2007,15.31
growth_stock,2008,-41.25
growth_stock,2009,43.01
growth_stock,2010,16.82
growth_stock,2011,6.98
growth_stock,2012,16.78
growth_stock,2013,28.03
growth_stock,2014,9.15
growth_stock,2015,12.33
growth_stock,2016,3.17
growth_stock,2017,28.95
growth_stock,2018,3.63
growth_stock,2019,34.07
value_stock,1927,48.27
value_stock,1928,25.72
value_stock,1929,-26.61
value_stock,1930,-56.32
value_stock,1931,-55.62
value_stock,1932,3.45
value_stock,1933,151.89
value_stock,1934,-12.89
value_stock,1935,34.52
value_stock,1936,49.75
value_stock,1937,-57.27
value_stock,1938,23.85
value_stock,1939,-20.98
value_stock,1940,-26.21
value_stock,1941,0.82
value_stock,1942,51.46
value_stock,1943,61.72
value_stock,1944,69.1
value_stock,1945,66.64
value_stock,1946,-18.44
value_stock,1947,1.94
value_stock,1948,2.38
value_stock,1949,20.15
value_stock,1950,63.82
value_stock,1951,7.96
value_stock,1952,32.16
value_stock,1953,-13.74
value_stock,1954,70.08
value_stock,1955,18.59
value_stock,1956,-0.82
value_stock,1957,-25.84
value_stock,1958,77.98
value_stock,1959,20.37
value_stock,1960,-17.32
value_stock,1961,31.31
value_stock,1962,-4.22
value_stock,1963,35.99
value_stock,1964,22.8
value_stock,1965,36.74
value_stock,1966,-13.13
value_stock,1967,36.82
value_stock,1968,28.56
value_stock,1969,-25.25
value_stock,1970,6.86
value_stock,1971,17.91
value_stock,1972,10.05
value_stock,1973,-3.75
value_stock,1974,-24.09
value_stock,1975,47.67
value_stock,1976,63.94
value_stock,1977,7.59
value_stock,1978,12.04
value_stock,1979,32.3
value_stock,1980,15.31
value_stock,1981,11.35
value_stock,1982,41.51
value_stock,1983,43.26
value_stock,1984,22.43
value_stock,1985,28.89
value_stock,1986,19.11
value_stock,1987,1.82
value_stock,1988,32.72
value_stock,1989,27.96
value_stock,1990,-29.23
value_stock,1991,27.63
value_stock,1992,40.92
value_stock,1993,30.06
value_stock,1994,-3.64
value_stock,1995,45.99
value_stock,1996,24.45
value_stock,1997,31.85
value_stock,1998,15.15
value_stock,1999,8.4
value_stock,2000,13.64
value_stock,2001,19.01
value_stock,2002,-15.39
value_stock,2003,64.87
value_stock,2004,23.21
value_stock,2005,14.74
value_stock,2006,21.46
value_stock,2007,0.44
value_stock,2008,-46.18
value_stock,2009,22.05
value_stock,2010,13.38
value_stock,2011,-31.68
value_stock,2012,39.85
value_stock,2013,46.45
value_stock,2014,7.3
value_stock,2015,-8.55
value_stock,2016,27.76
value_stock,2017,19
value_stock,2018,-22.16
value_stock,2019,22.01
